Preis_in_Euro,Kilometerstand_in_km,Hubraum_in_cm3,Leistung_in_PS,Kraftstoffart,Getriebe,Erstzulassung,HU
16990         , 45097                , 1395           , 140            , Benzin        , Schaltgetriebe , Nov13         , Neu
41219         , 220                  , 1984           , 300            , Benzin        , Schaltgetriebe , Nov16         , Nov19
13990         , 86600                , 1968           , 150            , Diesel        , Schaltgetriebe , Jul14         , Neu
8430          , 109114               , 1390           , 140            , Benzin        , Automatik      , Apr07         , Okt18
12485         , 62275                , 1197           , 105            , Benzin        , Schaltgetriebe , Apr13         , Neu
790           , 140000               , 1390           , 75             , Benzin        , Schaltgetriebe , Feb99         , Mrz18
24781         , 12379                , 1968           , 150            , Diesel        , Automatik      , Jan17         , Jan20
1700          , 150000               , 1390           , 75             , Benzin        , Schaltgetriebe , Mai01         , Apr18
20850         , 9990                 , 1395           , 125            , Benzin        , Automatik      , Sep16         , Sep19
2700          , 200000               , 1390           , 80             , Benzin        , Schaltgetriebe , Jun07         , Jan18
4850          , 70750                , 1390           , 75             , Benzin        , Schaltgetriebe , Jul04         , Sep19
3990          , 224000               , 1896           , 105            , Diesel        , Schaltgetriebe , Jun08         , Aug17
18800         , 24210                , 1968           , 150            , Diesel        , Schaltgetriebe , Sep16         , Neu
10790         , 120000               , 1598           , 105            , Diesel        , Schaltgetriebe , Jan13         , Neu
29214         , 22345                , 1968           , 184            , Diesel        , Automatik      , Mrz16         , Neu
26980         , 22200                , 1984           , 220            , Benzin        , Automatik      , Nov15         , Neu
13710         , 91500                , 1395           , 122            , Benzin        , Schaltgetriebe , Mai14         , Neu
13980         , 33650                , 1197           , 105            , Benzin        , Schaltgetriebe , Jun13         , Neu
29100         , 12500                , 1395           , 204            , Hybrid        , Automatik      , Nov16         , Neu
14480         , 65600                , 1390           , 122            , Benzin        , Automatik      , Sep13         , Neu
27810         , 22400                , 1968           , 184            , Diesel        , Automatik      , Dez15         , Neu
16990         , 71162                , 1984           , 211            , Benzin        , Automatik      , Feb13         , Aug19
19900         , 7000                 , 1197           , 110            , Benzin        , Schaltgetriebe , Okt16         , Okt19
14400         , 66980                , 1598           , 105            , Diesel        , Schaltgetriebe , Jul14         , Jun19
